날짜,시간,상품명,방송일시,노출(분)
2020-01-04,13:20,네오젠,2020-01-04 13:20:00,60.0
2020-01-04,14:20,현대해상운전자보험,2020-01-04 14:20:00,60.0
2020-01-04,15:20,한일믹서기,2020-01-04 15:20:00,60.0
2020-01-04,16:20,손질갑오징어,2020-01-04 16:20:00,60.0
2020-01-04,17:20,멋진밥상 흥양농협쌀,2020-01-04 17:20:00,40.0
2020-01-04,18:00,정보방송,2020-01-04 18:00:00,20.0
2020-01-04,18:20,여행상품,2020-01-04 18:20:00,60.0
2020-01-04,19:20,노비타비데,2020-01-04 19:20:00,60.0
2020-01-04,20:20,보닌남성기초,2020-01-04 20:20:00,60.0
2020-01-04,21:20,도가니탕,2020-01-04 21:20:00,60.0
2020-01-04,22:20,영산포 숙성 홍어회,2020-01-04 22:20:00,60.0
2020-01-04,23:20,여행상품2부,2020-01-04 23:20:00,60.0
2020-01-05,00:20,제니하우스염색제,2020-01-05 00:20:00,60.0
2020-01-05,01:20,네오젠마스카라,2020-01-05 01:20:00,40.0
2020-01-05,02:00,네오젠마스카라,2020-01-05 02:00:00,20.0
2020-01-05,02:20,캐리어공기청정기,2020-01-05 02:20:00,60.0
2020-01-05,03:20,팔로모매트리스,2020-01-05 03:20:00,60.0
2020-01-05,04:20,액티브코큐텐,2020-01-05 04:20:00,60.0
2020-01-05,05:20,팔레오,2020-01-05 05:20:00,60.0
2020-01-05,06:20,크리스티나앤코,2020-01-05 06:20:00,60.0
2020-01-05,07:20,장수흙침대,2020-01-05 07:20:00,60.0
2020-01-05,08:20,석류즙,2020-01-05 08:20:00,60.0
2020-01-05,09:20,니봇로봇청소기,2020-01-05 09:20:00,60.0
2020-01-05,10:20,헤스티지 재킷,2020-01-05 10:20:00,60.0
2020-01-05,11:20,램프쿡,2020-01-05 11:20:00,60.0
2020-01-05,12:20,푸마드로즈,2020-01-05 12:20:00,60.0
2020-01-05,13:20,브루마스,2020-01-05 13:20:00,60.0
2020-01-05,14:20,제주갈치앤조기,2020-01-05 14:20:00,60.0
2020-01-05,15:20,참존,2020-01-05 15:20:00,60.0
2020-01-05,16:20,양구시래기,2020-01-05 16:20:00,60.0
2020-01-05,17:20,IH가마솥,2020-01-05 17:20:00,60.0
2020-01-05,18:20,여행상품,2020-01-05 18:20:00,60.0
2020-01-05,19:20,비버리힐스폴로 남성기초세트,2020-01-05 19:20:00,60.0
2020-01-05,20:20,LG냉장고,2020-01-05 20:20:00,60.0
2020-01-05,21:20,쿠쿠 압력밥솥,2020-01-05 21:20:00,60.0
2020-01-05,22:20,LG통돌이세탁기,2020-01-05 22:20:00,60.0
2020-01-05,23:20,손질문어,2020-01-05 23:20:00,60.0
2020-01-06,00:20,컨시크아이라이너,2020-01-06 00:20:00,60.0
2020-01-06,01:20,코몽트상의,2020-01-06 01:20:00,40.0
2020-01-06,02:00,조이앤피스,2020-01-06 02:00:00,60.0
2020-01-06,03:00,정보방송,2020-01-06 03:00:00,20.0
2020-01-06,03:20,오메가큐텐,2020-01-06 03:20:00,60.0
2020-01-06,04:20,스튜디오럭스,2020-01-06 04:20:00,60.0
2020-01-06,05:20,음식물처리기,2020-01-06 05:20:00,60.0
2020-01-06,06:20,크리스티나앤코상의,2020-01-06 06:20:00,60.0
2020-01-06,07:20,티포트,2020-01-06 07:20:00,60.0
2020-01-06,08:20,오델로,2020-01-06 08:20:00,60.0
2020-01-06,09:20,헤스티지 재킷,2020-01-06 09:20:00,60.0
2020-01-06,10:20,에코라믹 냄비세트,2020-01-06 10:20:00,60.0
2020-01-06,11:20,영광 모시떡,2020-01-06 11:20:00,60.0
2020-01-06,12:20,보험,2020-01-06 12:20:00,60.0
2020-01-06,13:20,참존,2020-01-06 13:20:00,60.0
2020-01-06,14:20,제주수산물세트,2020-01-06 14:20:00,60.0
2020-01-06,15:20,한일믹서기,2020-01-06 15:20:00,60.0
2020-01-06,16:20,영산포 숙성 홍어회,2020-01-06 16:20:00,60.0
2020-01-06,17:20,도가니탕,2020-01-06 17:20:00,60.0
2020-01-06,18:20,일월매트,2020-01-06 18:20:00,60.0
2020-01-06,19:20,헤스티지패션,2020-01-06 19:20:00,60.0
2020-01-06,20:20,LG통돌이세탁기,2020-01-06 20:20:00,60.0
2020-01-06,21:20,삼성암보험,2020-01-06 21:20:00,60.0
2020-01-06,22:20,램프쿡,2020-01-06 22:20:00,60.0
2020-01-06,23:20,선일금고,2020-01-06 23:20:00,60.0
2020-01-07,00:20,장수흙침대,2020-01-07 00:20:00,60.0
2020-01-07,01:20,교원리빙,2020-01-07 01:20:00,40.0
2020-01-07,02:00,교원리빙,2020-01-07 02:00:00,20.0
2020-01-07,02:20,슬리미,2020-01-07 02:20:00,60.0
2020-01-07,03:20,컨시크아이라이너,2020-01-07 03:20:00,60.0
2020-01-07,04:20,조이앤피스,2020-01-07 04:20:00,60.0
2020-01-07,05:20,프로닥스시트세제,2020-01-07 05:20:00,60.0
2020-01-07,06:20,안국 루테인,2020-01-07 06:20:00,60.0
2020-01-07,07:20,마르엘라로사티,2020-01-07 07:20:00,60.0
2020-01-07,08:20,셀렉프로,2020-01-07 08:20:00,60.0
2020-01-07,09:20,청소기,2020-01-07 09:20:00,60.0
2020-01-07,10:20,에트로,2020-01-07 10:20:00,60.0
2020-01-07,11:20,메주,2020-01-07 11:20:00,60.0
2020-01-07,12:20,조이앤피스,2020-01-07 12:20:00,60.0
